timestamp,message
2026-03-28T13:42:45.623453,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215719,""format"":""epc"",""idHex"":""e28011c1a5000062f793d1bc"",""peakRssi"":-67,""phase"":-43.062225341796875,""reads"":1},""timestamp"":""2026-03-28T08:12:46.079+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.821950,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215720,""format"":""epc"",""idHex"":""e28011700000020d2a40e06d"",""peakRssi"":-58,""phase"":-156.2413330078125,""reads"":1},""timestamp"":""2026-03-28T08:12:46.140+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215721,""format"":""epc"",""idHex"":""e28011700000020d2a40c88f"",""peakRssi"":-54,""phase"":-46.36921310424805,""reads"":1},""timestamp"":""2026-03-28T08:12:46.150+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215722,""format"":""epc"",""idHex"":""e28011700000020d2a40f06c"",""peakRssi"":-53,""phase"":-15.491195678710938,""reads"":1},""timestamp"":""2026-03-28T08:12:46.150+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215723,""format"":""epc"",""idHex"":""e28011700000020d2a40e88f"",""peakRssi"":-59,""phase"":106.13666534423828,""reads"":1},""timestamp"":""2026-03-28T08:12:46.160+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215724,""format"":""epc"",""idHex"":""e28011700000020d2a40f9f9"",""peakRssi"":-61,""phase"":-129.06033325195313,""reads"":1},""timestamp"":""2026-03-28T08:12:46.160+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215725,""format"":""epc"",""idHex"":""e28011700000020d2a411875"",""peakRssi"":-62,""phase"":-83.09762573242188,""reads"":1},""timestamp"":""2026-03-28T08:12:46.160+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215726,""format"":""epc"",""idHex"":""e28011700000020d2a40c96c"",""peakRssi"":-62,""phase"":-143.10678100585938,""reads"":1},""timestamp"":""2026-03-28T08:12:46.170+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215727,""format"":""epc"",""idHex"":""e28011700000020d2a40e895"",""peakRssi"":-63,""phase"":170.6118927001953,""reads"":1},""timestamp"":""2026-03-28T08:12:46.170+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215728,""format"":""epc"",""idHex"":""e28011700000020d2a40f16b"",""peakRssi"":-61,""phase"":0.8734397292137146,""reads"":1},""timestamp"":""2026-03-28T08:12:46.180+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.822433,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215729,""format"":""epc"",""idHex"":""e28011700000020d2a40d8ec"",""peakRssi"":-72,""phase"":82.07586669921875,""reads"":1},""timestamp"":""2026-03-28T08:12:46.181+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215730,""format"":""epc"",""idHex"":""e28011700000020d2a410080"",""peakRssi"":-62,""phase"":-100.6872787475586,""reads"":1},""timestamp"":""2026-03-28T08:12:46.181+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215731,""format"":""epc"",""idHex"":""e28011700000020d2a40f89e"",""peakRssi"":-65,""phase"":173.08389282226563,""reads"":1},""timestamp"":""2026-03-28T08:12:46.191+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215732,""format"":""epc"",""idHex"":""e28011700000020d2a412173"",""peakRssi"":-71,""phase"":74.90707397460938,""reads"":1},""timestamp"":""2026-03-28T08:12:46.191+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215733,""format"":""epc"",""idHex"":""e28011700000020d2a40d88a"",""peakRssi"":-56,""phase"":-137.4102020263672,""reads"":1},""timestamp"":""2026-03-28T08:12:46.201+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215734,""format"":""epc"",""idHex"":""e28011700000020d2a410319"",""peakRssi"":-60,""phase"":122.42439270019531,""reads"":1},""timestamp"":""2026-03-28T08:12:46.201+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215735,""format"":""epc"",""idHex"":""e28011700000020d2a410072"",""peakRssi"":-71,""phase"":-178.5991973876953,""reads"":1},""timestamp"":""2026-03-28T08:12:46.211+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215736,""format"":""epc"",""idHex"":""e28011700000020d2a412b0a"",""peakRssi"":-63,""phase"":2.8894925117492676,""reads"":1},""timestamp"":""2026-03-28T08:12:46.211+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215737,""format"":""epc"",""idHex"":""e28011700000020d2a40c973"",""peakRssi"":-67,""phase"":20.86916732788086,""reads"":1},""timestamp"":""2026-03-28T08:12:46.211+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215738,""format"":""epc"",""idHex"":""e28011700000020d2a40e074"",""peakRssi"":-65,""phase"":-176.86880493164063,""reads"":1},""timestamp"":""2026-03-28T08:12:46.221+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215739,""format"":""epc"",""idHex"":""e28011700000020d2a4108d2"",""peakRssi"":-67,""phase"":143.27159118652344,""reads"":1},""timestamp"":""2026-03-28T08:12:46.221+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215740,""format"":""epc"",""idHex"":""e28011700000020d2a40f05a"",""peakRssi"":-63,""phase"":-172.16650390625,""reads"":1},""timestamp"":""2026-03-28T08:12:46.221+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:45.823366,"{""data"":{""antenna"":3,""channel"":866.3,""eventNum"":215741,""format"":""epc"",""idHex"":""e28011700000020d2a40c074"",""peakRssi"":-62,""phase"":94.00189208984375,""reads"":1},""timestamp"":""2026-03-28T08:12:46.231+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.023539,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215742,""format"":""epc"",""idHex"":""ad7212051445d1bb600000d0"",""peakRssi"":-67,""phase"":-8.915677070617676,""reads"":1},""timestamp"":""2026-03-28T08:12:46.312+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215743,""format"":""epc"",""idHex"":""ad721206438215b0867e004e"",""peakRssi"":-69,""phase"":89.17325592041016,""reads"":1},""timestamp"":""2026-03-28T08:12:46.312+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215744,""format"":""epc"",""idHex"":""e28011c1a5000062f793cdcc"",""peakRssi"":-63,""phase"":171.73252868652344,""reads"":1},""timestamp"":""2026-03-28T08:12:46.353+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215745,""format"":""epc"",""idHex"":""e2801191a503006907334294"",""peakRssi"":-69,""phase"":-50.82979965209961,""reads"":1},""timestamp"":""2026-03-28T08:12:46.373+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215746,""format"":""epc"",""idHex"":""e2801191a5030069073927e5"",""peakRssi"":-73,""phase"":8.146611213684082,""reads"":1},""timestamp"":""2026-03-28T08:12:46.373+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215747,""format"":""epc"",""idHex"":""e28068900000000016ca8819"",""peakRssi"":-66,""phase"":-164.0748291015625,""reads"":1},""timestamp"":""2026-03-28T08:12:46.383+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215748,""format"":""epc"",""idHex"":""ad721206438c2bb0847c0031"",""peakRssi"":-68,""phase"":7.04245138168335,""reads"":1},""timestamp"":""2026-03-28T08:12:46.383+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.024400,"{""data"":{""antenna"":4,""channel"":866.3,""eventNum"":215749,""format"":""epc"",""idHex"":""e28011c1a5000062f796253c"",""peakRssi"":-61,""phase"":-83.77880096435547,""reads"":1},""timestamp"":""2026-03-28T08:12:46.454+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.222607,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215750,""format"":""epc"",""idHex"":""e28011700000020d2a40d886"",""peakRssi"":-57,""phase"":128.45057678222656,""reads"":1},""timestamp"":""2026-03-28T08:12:46.484+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.222607,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215751,""format"":""epc"",""idHex"":""e28011700000020d2a40e16b"",""peakRssi"":-50,""phase"":78.73043060302734,""reads"":1},""timestamp"":""2026-03-28T08:12:46.494+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223155,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215752,""format"":""epc"",""idHex"":""e28011700000020d2a41096d"",""peakRssi"":-55,""phase"":-36.49220275878906,""reads"":1},""timestamp"":""2026-03-28T08:12:46.504+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223155,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215753,""format"":""epc"",""idHex"":""e28011700000020d2a41196c"",""peakRssi"":-65,""phase"":-130.7303009033203,""reads"":1},""timestamp"":""2026-03-28T08:12:46.515+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223155,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215754,""format"":""epc"",""idHex"":""e28011700000020d2a4111d4"",""peakRssi"":-70,""phase"":124.53382873535156,""reads"":1},""timestamp"":""2026-03-28T08:12:46.515+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215755,""format"":""epc"",""idHex"":""e28011700000020d2a40e1da"",""peakRssi"":-55,""phase"":-32.4106559753418,""reads"":1},""timestamp"":""2026-03-28T08:12:46.515+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215756,""format"":""epc"",""idHex"":""e28011700000020d2a411072"",""peakRssi"":-56,""phase"":-55.224464416503906,""reads"":1},""timestamp"":""2026-03-28T08:12:46.525+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215757,""format"":""epc"",""idHex"":""e28011700000020d2a411172"",""peakRssi"":-60,""phase"":135.7567138671875,""reads"":1},""timestamp"":""2026-03-28T08:12:46.525+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215758,""format"":""epc"",""idHex"":""e28011700000020d2a40d96b"",""peakRssi"":-50,""phase"":129.01089477539063,""reads"":1},""timestamp"":""2026-03-28T08:12:46.535+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215759,""format"":""epc"",""idHex"":""e28011700000020d2a412075"",""peakRssi"":-54,""phase"":140.59083557128906,""reads"":1},""timestamp"":""2026-03-28T08:12:46.535+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215760,""format"":""epc"",""idHex"":""e28011700000020d2a40f181"",""peakRssi"":-70,""phase"":-47.47886657714844,""reads"":1},""timestamp"":""2026-03-28T08:12:46.545+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215761,""format"":""epc"",""idHex"":""e28011700000020d2a41108c"",""peakRssi"":-60,""phase"":69.78179168701172,""reads"":1},""timestamp"":""2026-03-28T08:12:46.545+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215762,""format"":""epc"",""idHex"":""e28011700000020d2a40c875"",""peakRssi"":-57,""phase"":-72.92398071289063,""reads"":1},""timestamp"":""2026-03-28T08:12:46.555+0000"",""type"":""CUSTOM""}"
