antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
2,866.9,1989,epc,e2806890000000001829a9f8,-66,-110.00396728515625,1,2026-03-31T10:02:59.520000+00:00,CUSTOM,1774951379520
2,866.9,1990,epc,e28011b0a5050077ab37d9a5,-75,-98.36359405517578,1,2026-03-31T10:02:59.521000+00:00,CUSTOM,1774951379521
2,866.9,1991,epc,303800000666e10000000055,-57,118.18903350830078,1,2026-03-31T10:02:59.531000+00:00,CUSTOM,1774951379531
2,866.9,1992,epc,e28069950000400f97d42253,-70,-147.55088806152344,1,2026-03-31T10:02:59.541000+00:00,CUSTOM,1774951379541
2,866.9,1993,epc,e28011c1a5000062f794a54c,-71,-95.60044860839844,1,2026-03-31T10:02:59.542000+00:00,CUSTOM,1774951379542
3,866.9,1994,epc,e28069950000400f97d4fe52,-57,-3.603625535964966,1,2026-03-31T10:02:59.562000+00:00,CUSTOM,1774951379562
3,866.9,1995,epc,e28011b0a5050077ab398229,-27,-53.37870407104492,1,2026-03-31T10:02:59.563000+00:00,CUSTOM,1774951379563
3,866.9,1996,epc,303800000222a00000000015,-51,-164.30555725097656,1,2026-03-31T10:02:59.573000+00:00,CUSTOM,1774951379573
3,866.9,1997,epc,e28069950000400f97d4e651,-61,166.93136596679688,1,2026-03-31T10:02:59.573000+00:00,CUSTOM,1774951379573
3,866.9,1998,epc,303800000666a0000000001a,-56,-63.75011444091797,1,2026-03-31T10:02:59.584000+00:00,CUSTOM,1774951379584
3,866.9,1999,epc,e28011b0a5050077ab39cec9,-44,-173.86395263671875,1,2026-03-31T10:02:59.603000+00:00,CUSTOM,1774951379603
3,866.9,2000,epc,e28069950000500f97d3ae52,-54,148.237548828125,1,2026-03-31T10:02:59.614000+00:00,CUSTOM,1774951379614
3,866.9,2001,epc,e28011b0a5050077ab3982f9,-37,140.73915100097656,1,2026-03-31T10:02:59.635000+00:00,CUSTOM,1774951379635
3,866.9,2002,epc,303800000222a0000000001c,-56,84.54237365722656,1,2026-03-31T10:02:59.635000+00:00,CUSTOM,1774951379635
3,866.9,2003,epc,e28069950000500f97d1a253,-61,135.21835327148438,1,2026-03-31T10:02:59.645000+00:00,CUSTOM,1774951379645
3,866.9,2004,epc,e28069950000400f97d86e52,-59,-27.625965118408203,1,2026-03-31T10:02:59.656000+00:00,CUSTOM,1774951379656
3,866.9,2005,epc,303800000222a0000000001a,-56,-74.17646026611328,1,2026-03-31T10:02:59.667000+00:00,CUSTOM,1774951379667
3,866.9,2006,epc,e28011b0a5050077ab397ac9,-33,-50.40131759643555,1,2026-03-31T10:02:59.667000+00:00,CUSTOM,1774951379667
3,866.9,2007,epc,e28011b0a5050077ab39ce09,-50,138.7395782470703,1,2026-03-31T10:02:59.677000+00:00,CUSTOM,1774951379677
3,866.9,2008,epc,e28011b0a5050077ab39a859,-45,56.83401107788086,1,2026-03-31T10:02:59.677000+00:00,CUSTOM,1774951379677
3,866.9,2009,epc,e28011b0a5050077ab39ce69,-53,144.0845947265625,1,2026-03-31T10:02:59.687000+00:00,CUSTOM,1774951379687
3,866.9,2010,epc,303800000aaa900000000019,-59,140.2008056640625,1,2026-03-31T10:02:59.687000+00:00,CUSTOM,1774951379687
3,866.9,2011,epc,e28011b0a5050077ab39a8a9,-25,-122.02337646484375,1,2026-03-31T10:02:59.687000+00:00,CUSTOM,1774951379687
4,866.9,2012,epc,303800000aaa900000000015,-58,31.910764694213867,1,2026-03-31T10:02:59.718000+00:00,CUSTOM,1774951379718
4,866.9,2013,epc,303800000444a10000000016,-59,-123.50108337402344,1,2026-03-31T10:02:59.729000+00:00,CUSTOM,1774951379729
4,866.9,2014,epc,e28011b0a5050077ab3821cc,-61,-133.87799072265625,1,2026-03-31T10:02:59.780000+00:00,CUSTOM,1774951379780
4,866.9,2015,epc,e28011b0a5050077ab398289,-60,-3.933225393295288,1,2026-03-31T10:02:59.832000+00:00,CUSTOM,1774951379832
1,866.9,2016,epc,e28069950000400f97d38650,-64,150.7095489501953,1,2026-03-31T10:02:59.883000+00:00,CUSTOM,1774951379883
1,866.9,2017,epc,e28069950000500f97d1de52,-60,134.94369506835938,1,2026-03-31T10:02:59.893000+00:00,CUSTOM,1774951379893
1,866.9,2018,epc,e28069950000500f97d76651,-57,-12.563249588012695,1,2026-03-31T10:02:59.893000+00:00,CUSTOM,1774951379893
1,866.9,2019,epc,e28069950000500f97d6fa55,-57,-107.2682876586914,1,2026-03-31T10:02:59.903000+00:00,CUSTOM,1774951379903
2,866.9,2020,epc,e2801191a5030069565f2c00,-69,45.71001434326172,1,2026-03-31T10:02:59.913000+00:00,CUSTOM,1774951379913
2,866.9,2021,epc,e28069950000500f97d3ae52,-68,-103.72509002685547,1,2026-03-31T10:02:59.923000+00:00,CUSTOM,1774951379923
2,866.9,2022,epc,e28069950000400f97d2fa50,-70,-110.99276733398438,1,2026-03-31T10:02:59.934000+00:00,CUSTOM,1774951379934
2,866.9,2023,epc,e28069950000400f97d64e52,-73,73.99517822265625,1,2026-03-31T10:02:59.934000+00:00,CUSTOM,1774951379934
2,866.9,2024,epc,e28069950000500f97d2ca51,-72,-122.46284484863281,1,2026-03-31T10:02:59.944000+00:00,CUSTOM,1774951379944
3,866.9,2025,epc,303800000111c10000000012,-57,-175.62730407714844,1,2026-03-31T10:02:59.964000+00:00,CUSTOM,1774951379964
3,866.9,2026,epc,303800000222a0000000001c,-55,82.70760345458984,1,2026-03-31T10:02:59.974000+00:00,CUSTOM,1774951379974
3,866.9,2027,epc,303800000222a0000000001a,-55,-70.05645751953125,1,2026-03-31T10:02:59.975000+00:00,CUSTOM,1774951379975
3,866.9,2028,epc,e28011b0a5050077ab39ce09,-50,140.94790649414062,1,2026-03-31T10:02:59.984000+00:00,CUSTOM,1774951379984
